id,web_name,full_name,team_name,position,now_cost,status,photo_url,total_points,points_per_game,form,selected_by_percent,minutes,starts,chance_of_playing_next_round,ep_next,set_piece_duties,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90,transfers_in_event,transfers_out_event,next_gameweek,next_opponent,next_is_home,next_fixture_difficulty,start_rate,xp_next,xp_horizon,fixtures_horizon,xp_ceiling,haul_probability
115,De Cuyper,Maxim De Cuyper,Brighton,DEF,4.6,a,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,17,17.0,17.0,6.0,77,1,,1.9,,1.72,0.25,0.34,334841,10673,2,Chelsea,False,4,0.54,1.85,11.09,CHE(A) · LEE(H) · COV(A) · ARS(H),6.0,0.028
123,Hinshelwood,Jack Hinshelwood,Brighton,MID,6.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p532529.png,16,16.0,16.0,2.0,63,1,,2.2,,2.01,0.03,0.27,102686,10766,2,Chelsea,False,4,0.6,1.8,10.82,CHE(A) · LEE(H) · COV(A) · ARS(H),7.0,0.025
586,Mendy,Nobel Mendy,Hull City,DEF,4.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,15,15.0,15.0,2.2,63,1,100.0,1.0,,0.4,0.0,1.23,73974,11870,2,Coventry City,False,2,0.17,1.3,3.9,COV(A) · AVL(H) · CHE(A) · NEW(A),6.0,0.006
279,Ajayi,Semi Ajayi,Hull City,DEF,4.0,d,https://resources.premierleague.com/premierleague/photos/players/40x40/p146426.png,14,14.0,14.0,1.5,63,1,75.0,0.8,,0.74,0.0,1.23,42520,9920,2,Coventry City,False,2,0.17,1.0,2.99,COV(A) · AVL(H) · CHE(A) · NEW(A),6.0,0.008
565,M.Sangaré,Mamadou Sangaré,Brentford,MID,5.6,a,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,14,14.0,14.0,6.7,75,1,,2.0,,0.06,0.4,0.56,275578,11964,2,Leeds,False,3,0.17,0.51,2.05,LEE(A) · SUN(H) · BOU(A) · CHE(H),3.0,0.0
88,Kayode,Michael Kayode,Brentford,DEF,4.5,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p607464.png,13,13.0,13.0,6.1,75,1,,1.7,,0.6,0.0,0.56,212832,11151,2,Leeds,False,3,0.98,3.64,14.58,LEE(A) · SUN(H) · BOU(A) · CHE(H),6.0,0.027
154,Palmer,Cole Palmer,Chelsea,MID,9.5,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p244851.png,13,13.0,13.0,13.3,82,1,100.0,3.2,Penales,0.31,0.21,1.36,186867,21443,2,Brighton,True,2,0.69,4.6,13.79,BHA(H) · ARS(A) · HUL(H) · BRE(A),11.0,0.126
335,Stach,Anton Stach,Leeds,MID,6.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,13,13.0,13.0,1.7,90,1,,2.2,"Tiros libres, Córners",0.1,0.05,0.66,44117,7261,2,Brentford,True,3,0.78,2.59,11.21,BRE(H) · BHA(A) · NEW(H) · CRY(H),6.0,0.016
367,Gakpo,Cody Gakpo,Liverpool,MID,7.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p243298.png,12,12.0,12.0,5.2,90,1,,2.5,,0.3,0.15,1.58,111424,13418,2,Nott'm Forest,True,3,0.87,3.58,16.69,NFO(H) · IPS(A) · FUL(H) · BOU(A),8.0,0.052
165,João Pedro,João Pedro Junqueira de Jesus,Chelsea,FWD,7.5,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p475168.png,11,11.0,11.0,66.3,90,1,,2.4,,0.63,0.06,1.33,229294,19659,2,Brighton,True,2,0.85,4.8,14.41,BHA(H) · ARS(A) · HUL(H) · BRE(A),10.0,0.128
